"Ethnicity","Local Authority","All","Boys","Girls"
"Black","County Durham","-0.29","-0.45","-0.13"
"Black","Coventry","0.35","0.06","0.59"
"Black","Croydon","0.10","-0.06","0.28"
"Black","Cumbria","-0.48","-0.80","-0.05"
"Black","Darlington","!","!","N/A"
"Black","Derby","-0.13","-0.34","0.03"
"Black","Derbyshire","0.13","!","!"
"Black","Devon","0.82","0.50","1.14"
"Black","Doncaster","-0.13","-0.22","-0.04"
"Black","Dorset","0.83","!","!"
"Black","Dudley","0.04","-0.15","0.21"
"Black","Ealing","0.17","-0.06","0.36"
"Black","East Riding of Yorkshire","!","!","!"
"Black","East Sussex","0.68","-0.26","1.21"
"Black","Enfield","0.10","-0.11","0.31"
"Black","Essex","0.40","0.24","0.53"
"Black","Gateshead","1.24","0.46","1.80"
"Black","Gloucestershire","-0.29","-0.57","0.05"
"Black","Greenwich","0.21","0.09","0.33"
"Black","Hackney","0.25","0.12","0.36"
"Black","Halton","!","!","!"
"Black","Hammersmith and Fulham","0.01","-0.11","0.12"
"Black","Hampshire","0.27","0.15","0.41"
"Black","Haringey","0.13","-0.07","0.33"
"Black","Harrow","0.24","0.03","0.42"
"Black","Hartlepool","!","!","!"
"Black","Havering","0.13","-0.19","0.46"
"Black","Herefordshire, County of","-0.15","!","!"
"Black","Hertfordshire","0.28","0.12","0.42"
"Black","Hillingdon","0.17","-0.05","0.44"
"Black","Hounslow","0.30","0.08","0.58"
"Black","Isle of Wight","N/A","N/A","N/A"
"Black","Isles of Scilly","N/A","N/A","N/A"
"Black","Islington","0.22","0.19","0.25"
"Black","Kensington and Chelsea","0.32","0.19","0.50"
"Black","Kent","0.41","0.27","0.55"
"Black","Kingston upon Hull, City of","0.52","0.89","0.27"
"Black","Kingston upon Thames","0.23","0.00","0.53"
"Black","Kirklees","0.01","-0.28","0.32"
"Black","Knowsley","!","!","!"
"Black","Lambeth","-0.02","-0.20","0.16"
"Black","Lancashire","0.10","-0.34","0.55"
"Black","Leeds","0.27","0.16","0.39"
"Black","Leicester","0.11","-0.06","0.28"
"Black","Leicestershire","0.20","0.20","0.21"
"Black","Lewisham","-0.19","-0.46","0.13"
"Black","Lincolnshire","0.07","0.19","-0.07"
"Black","Liverpool","0.01","-0.20","0.19"
"Black","Luton","0.20","-0.09","0.47"
"Black","Manchester","0.24","0.09","0.42"
"Black","Medway","0.30","0.28","0.32"
"Black","Merton","0.24","-0.05","0.52"
"Black","Middlesbrough","0.92","0.69","1.19"
"Black","Milton Keynes","0.37","0.24","0.51"
"Black","Newcastle upon Tyne","0.74","0.32","1.04"
"Black","Newham","0.16","0.04","0.30"
"Black","Norfolk","0.57","0.38","0.87"
"Black","North East Lincolnshire","!","-0.75","!"
"Black","North Lincolnshire","0.31","!","!"
"Black","North Somerset","0.28","!","!"
"Black","North Tyneside","0.34","0.04","0.84"
"Black","North Yorkshire","0.49","0.11","0.97"
"Black","Northamptonshire","0.27","0.16","0.37"
"Black","Northumberland","!","!","!"
"Black","Nottingham","-0.06","-0.30","0.17"
"Black","Nottinghamshire","0.08","-0.12","0.22"
"Black","Oldham","0.16","0.28","0.01"
"Black","Oxfordshire","0.37","0.23","0.59"
"Black","Peterborough","0.49","0.27","0.80"
"Black","Plymouth","0.55","0.26","1.09"
"Black","Poole","0.49","!","!"
