"Title","Pupil progress (‘Progress 8’) by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"","All pupils","","","Asian","","","Chinese","","","Black","","","Mixed","","","White","",""
"Local Authority","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"Walsall","-0.24","-0.39","-0.08","0.13","0.04","0.24","!","!","!","0.12","-0.08","0.37","-0.40","-0.63","-0.13","-0.36","-0.51","-0.19"
"Waltham Forest","0.23","0.06","0.39","0.44","0.25","0.62","0.95","1.30","0.68","0.07","-0.18","0.27","0.03","-0.07","0.12","0.21","0.07","0.35"
"Wandsworth","0.15","0.05","0.25","0.49","0.52","0.46","0.54","0.67","0.46","0.02","-0.12","0.18","-0.04","-0.26","0.22","0.10","-0.01","0.20"
"Warrington","-0.16","-0.29","-0.02","0.35","0.25","0.49","0.52","!","!","0.19","0.22","0.17","-0.25","-0.41","-0.02","-0.18","-0.31","-0.03"
"Warwickshire","0.02","-0.09","0.13","0.48","0.36","0.58","0.59","0.34","0.88","0.24","-0.32","0.66","-0.01","0.01","-0.03","-0.01","-0.11","0.10"
"West Berkshire","0.07","-0.07","0.21","0.48","0.41","0.59","0.74","0.91","0.34","-0.19","-0.15","-0.23","0.14","0.00","0.24","0.10","-0.04","0.24"
"West Sussex","0.10","-0.03","0.24","0.52","0.40","0.66","0.58","0.51","0.63","0.21","0.19","0.22","0.15","0.09","0.21","0.08","-0.05","0.22"
"Westminster","0.32","0.09","0.53","0.45","0.30","0.61","0.72","0.82","0.58","0.10","-0.16","0.45","0.24","0.02","0.44","0.30","0.00","0.49"
"Wigan","-0.09","-0.25","0.07","0.59","0.38","1.07","0.62","!","!","0.15","-0.11","0.28","0.08","-0.22","0.29","-0.10","-0.26","0.06"
"Wiltshire","0.01","-0.12","0.14","0.63","0.46","0.83","0.97","!","!","0.35","0.37","0.34","-0.06","-0.18","0.08","0.00","-0.13","0.13"
"Windsor and Maidenhead","0.16","0.08","0.25","0.23","0.12","0.35","0.42","!","!","-0.10","-0.38","0.43","0.44","0.40","0.47","0.13","0.06","0.19"
"Wirral","-0.04","-0.21","0.10","0.80","0.70","0.86","0.87","0.91","0.84","0.83","!","!","-0.14","-0.31","0.03","-0.06","-0.22","0.08"
