"Title","Travel by distance, trips, type of transport and purpose"
"Location","England"
"Time period","2002/06 to 2011/15 (5 yr rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","All Modes","842","72714","62184","4504","4015"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bicycle","5","436","337","4504","4015"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bus in London","52","4450","3463","4504","4015"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van driver","262","22674","19083","4504","4015"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van passenger","189","16370","14535","4504","4015"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","London Underground","26","2204","1583","4504","4015"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other local bus","37","3172","2476","4504","4015"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other private transport","5","463","361","4504","4015"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Surface Rail","19","1599","1243","4504","4015"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Taxi / minicab","7","572","488","4504","4015"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Walk","235","20305","18269","4504","4015"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","All Modes","815","33662","29795","2152","2002"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bicycle","!","!","!","!","!"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bus in London","144","5924","5291","2152","2002"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van driver","224","9232","7989","2152","2002"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van passenger","126","5212","4743","2152","2002"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","London Underground","21","870","723","2152","2002"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other local bus","59","2452","2007","2152","2002"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Surface Rail","32","1302","1043","2152","2002"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Taxi / minicab","!","!","!","!","!"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Walk","183","7567","7048","2152","2002"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","All Modes","910","22404","19993","1283","1189"
