"Title","Travel by distance, trips, type of transport and purpose"
"Location","England"
"Time period","2002/06 to 2011/15 (5 yr rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Trip_Purpose","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Weighted_Sample_Distance","Unweighted_Sample_Distance"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Personal business","367","9663","8544","5699","5217","40060","34781"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Shopping","427","14356","11963","5699","5217","46720","38898"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","All Purposes","4352","38086","35716","2550","2517","212814","194715"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Business","317","1264","1200","2550","2517","15517","14494"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Commuting","1079","6212","5340","2550","2517","52752","45842"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Education / escort education","500","8492","8894","2550","2517","24449","24464"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Leisure","1180","6960","6494","2550","2517","57687","53226"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other escort","271","3000","2804","2550","2517","13269","11987"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other including just walk","13","594","670","2550","2517","634","696"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Personal business","583","5514","5151","2550","2517","28516","26778"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Shopping","409","6051","5163","2550","2517","19989","17228"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","All Purposes","4693","20813","19103","1282","1215","115335","102235"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Business","253","475","432","1282","1215","6219","5616"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Commuting","934","2779","2251","1282","1215","22958","19222"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Education / escort education","423","4343","4296","1282","1215","10387","9667"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Leisure","1876","5285","4948","1282","1215","46119","41503"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other escort","455","2338","2195","1282","1215","11192","10427"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other including just walk","25","807","776","1282","1215","618","610"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Personal business","358","1943","1740","1282","1215","8792","7535"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Shopping","368","2844","2465","1282","1215","9051","7656"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","All Purposes","4040","15836","14023","1124","1028","87124","77865"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Business","313","571","484","1124","1028","6750","6355"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Commuting","944","2761","2239","1124","1028","20359","16830"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Education / escort education","363","2758","2657","1124","1028","7824","7118"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Leisure","1350","3003","2828","1124","1028","29112","27242"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other escort","264","1316","1292","1124","1028","5697","5240"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other including just walk","22","508","460","1124","1028","467","429"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Personal business","353","1588","1367","1124","1028","7620","6751"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Shopping","431","3330","2696","1124","1028","9294","7899"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","All Purposes","6944","1297063","1233345","70848","70583","9436109","8986436"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","Business","651","42914","41224","70848","70583","883987","850543"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","Commuting","1316","198534","174025","70848","70583","1788294","1583589"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","Education / escort education","318","142428","139432","70848","70583","432028","413782"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","Leisure","2811","350154","346420","70848","70583","3819365","3796891"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other escort","489","121124","112489","70848","70583","663892","614540"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other including just walk","48","60740","62558","70848","70583","65355","66318"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","Personal business","481","124388","119572","70848","70583","653379","619395"
"Average distance per year by trip purpose","2011-2015","5-year rolling average","White","National Travel Survey broad ethnicity classification","Shopping","831","256781","237625","70848","70583","1129809","1041379"
