"Title"," EBacc entry by ethnicity, gender and area"
"Location","England"
"Time period","2015 to 2016"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Notes","Boys-Value","Boys-Denominator","Girls-Value","Girls-Denominator"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Thurrock","Local Authority","E06000034","All pupils","All pupils","42","1721","NA","NA","","37","862","46","859"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Camden","Local Authority","E09000007","All pupils","All pupils","46","1422","NA","NA","","39","605","51","817"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","City of London","Local Authority","E09000001","All pupils","All pupils",".",".","NA","NA","Not applicable",".",".",".","."
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Hackney","Local Authority","E09000012","All pupils","All pupils","53","2038","NA","NA","","48","916","56","1122"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Hammersmith and Fulham","Local Authority","E09000013","All pupils","All pupils","65","1350","NA","NA","","62","649","67","701"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Haringey","Local Authority","E09000014","All pupils","All pupils","39","2231","NA","NA","","32","1112","46","1119"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Islington","Local Authority","E09000019","All pupils","All pupils","45","1397","NA","NA","","42","761","48","636"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Kensington and Chelsea","Local Authority","E09000020","All pupils","All pupils","52","740","NA","NA","","51","430","55","310"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Lambeth","Local Authority","E09000022","All pupils","All pupils","51","1887","NA","NA","","44","970","57","917"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Lewisham","Local Authority","E09000023","All pupils","All pupils","42","2334","NA","NA","","35","1236","51","1098"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Newham","Local Authority","E09000025","All pupils","All pupils","52","3489","NA","NA","","48","1780","55","1709"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Southwark","Local Authority","E09000028","All pupils","All pupils","58","2386","NA","NA","","51","1141","65","1245"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Tower Hamlets","Local Authority","E09000030","All pupils","All pupils","46","2570","NA","NA","","45","1294","47","1276"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Wandsworth","Local Authority","E09000032","All pupils","All pupils","58","1660","NA","NA","","50","872","68","788"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Westminster","Local Authority","E09000033","All pupils","All pupils","49","1566","NA","NA","","37","763","59","803"
"Percentage entering the English Baccalaureate","2016","Academic year","All","All pupils","Barking and Dagenham","Local Authority","E09000002","All pupils","All pupils","35","2201","NA","NA","","28","1110","42","1091"
