"Title","Civil Service pay"
"Location","UK"
"Time period","2018"
"Data source","Cabinet Office"
"Data source link","https://www.ons.gov.uk/releases/civilservicestatistics2018"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-05"
"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Grade","Geography","Geography_type","Value","Value_type","Headcount","Note"
"Median gross annual salary of civil servants (in pounds)","All","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Unknown grade","UK","UK","30,200","£","13,760",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Administrative officers and assistants","UK","UK","20,300","£","7,440",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Executive officer","UK","UK","26,400","£","6,370",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior and higher executive officer","UK","UK","33,900","£","4,140",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Grades 6 & 7","UK","UK","54,500","£","1,310",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior Civil Service","UK","UK","87,400","£","150",""
"Median gross annual salary of civil servants (in pounds)","Asian","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Unknown grade","UK","UK","29,300","£","360",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Administrative officers and assistants","UK","UK","22,300","£","3,700",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Executive officer","UK","UK","27,100","£","3,490",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior and higher executive officer","UK","UK","34,300","£","2,110",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Grades 6 & 7","UK","UK","54,800","£","560",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior Civil Service","UK","UK","85,700","£","50",""
"Median gross annual salary of civil servants (in pounds)","Black","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Unknown grade","UK","UK","27,700","£","320",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Administrative officers and assistants","UK","UK","19,600","£","280",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Executive officer","UK","UK","26,400","£","230",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior and higher executive officer","UK","UK","34,600","£","250",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Grades 6 & 7","UK","UK","54,800","£","120",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior Civil Service","UK","UK","96,500","£","10",""
"Median gross annual salary of civil servants (in pounds)","Chinese","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Unknown grade","UK","UK","28,300","£","20",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Administrative officers and assistants","UK","UK","19,800","£","1,460",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Executive officer","UK","UK","25,600","£","1,270",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior and higher executive officer","UK","UK","34,400","£","1,240",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Grades 6 & 7","UK","UK","54,400","£","580",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Senior Civil Service","UK","UK","80,700","£","50",""
"Median gross annual salary of civil servants (in pounds)","Mixed","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Unknown grade","UK","UK","30,200","£","150",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Administrative officers and assistants","UK","UK","19,700","£","98,710",""
"Median gross annual salary of civil servants (in pounds)","White","Asian, Black, Chinese, Mixed, White, Other","2017","Year","Executive officer","UK","UK","25,300","£","75,940",""
