"Title","Maths attainment for children aged 10 to 11 by ethnicity and area"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2017-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","14/12/2017"

"Standard Ethnicity","Local authority","%"
"White","Darlington","77"
"White","Derby","69"
"White","Derbyshire","74"
"White","Devon","75"
"White","Doncaster","70"
"White","Dorset","71"
"White","Dudley","71"
"White","Ealing","84"
"White","East Riding of Yorkshire","74"
"White","East Sussex","70"
"White","Enfield","74"
"White","Essex","76"
"White","Gateshead","80"
"White","Gloucestershire","75"
"White","Greenwich","79"
"White","Hackney","85"
"White","Halton","70"
"White","Hammersmith and Fulham","85"
"White","Hampshire","77"
"White","Haringey","82"
"White","Harrow","83"
"White","Hartlepool","81"
"White","Havering","82"
"White","Herefordshire, County of","72"
"White","Hertfordshire","76"
"White","Hillingdon","75"
"White","Hounslow","77"
"White","Isle of Wight","69"
"White","Isles of Scilly","71"
"White","Islington","81"
"White","Kensington and Chelsea","91"
"White","Kent","75"
"White","Kingston upon Hull, City of","75"
"White","Kingston upon Thames","81"
"White","Kirklees","74"
"White","Knowsley","74"
"White","Lambeth","86"
"White","Lancashire","76"
"White","Leeds","72"
"White","Leicester","66"
"White","Leicestershire","74"
"White","Lewisham","77"
"White","Lincolnshire","71"
"White","Liverpool","72"
"White","Luton","73"
"White","Manchester","76"
"White","Medway","69"
"White","Merton","78"
"White","Middlesbrough","77"
"White","Milton Keynes","74"
"White","Newcastle upon Tyne","78"
"White","Newham","80"
"White","Norfolk","69"
"White","North East Lincolnshire","73"
"White","North Lincolnshire","75"
"White","North Somerset","73"
"White","North Tyneside","78"
"White","North Yorkshire","72"
"White","Northamptonshire","71"
"White","Northumberland","72"
"White","Nottingham","73"
"White","Nottinghamshire","76"
"White","Oldham","74"
"White","Oxfordshire","76"
"White","Peterborough","67"
"White","Plymouth","73"
"White","Poole","72"
"White","Portsmouth","70"
"White","Reading","74"
"White","Redbridge","79"
"White","Redcar and Cleveland","83"
"White","Richmond upon Thames","88"
"White","Rochdale","71"
"White","Rotherham","76"
"White","Rutland","78"
"White","Salford","75"
"White","Sandwell","71"
"White","Sefton","80"
"White","Sheffield","73"
"White","Shropshire","75"
"White","Slough","70"
"White","Solihull","77"
"White","Somerset","72"
"White","South Gloucestershire","73"
"White","South Tyneside","79"
"White","Southampton","74"
"White","Southend-on-Sea","75"
"White","Southwark","81"
"White","St. Helens","73"
"White","Staffordshire","76"
"White","Stockport","77"
"White","Stockton-on-Tees","78"
"White","Stoke-on-Trent","71"
"White","Suffolk","70"
"White","Sunderland","80"
"White","Surrey","78"
"White","Sutton","80"
"White","Swindon","75"
"White","Tameside","74"
"White","Telford and Wrekin","73"
"White","Thurrock","74"
"White","Torbay","73"
"White","Tower Hamlets","77"
"White","Trafford","82"
"White","Wakefield","71"
"White","Walsall","65"
"White","Waltham Forest","82"
"White","Wandsworth","85"
"White","Warrington","83"
"White","Warwickshire","73"
"White","West Berkshire","73"
"White","West Sussex","71"
"White","Westminster","85"
"White","Wigan","79"
"White","Wiltshire","72"
"White","Windsor and Maidenhead","75"
"White","Wirral","71"
"White","Wokingham","80"
"White","Wolverhampton","73"
"White","Worcestershire","70"
"White","York","76"
