"Title"," EBacc entry by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Boys-Value","Girls-Value"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Slough","Local Authority","E06000039","All pupils","All pupils","42","39","45"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Southampton","Local Authority","E06000045","All pupils","All pupils","40","35","46"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Surrey","Local Authority","E10000030","All pupils","All pupils","46","40","52"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","West Berkshire","Local Authority","E06000037","All pupils","All pupils","48","44","52"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","West Sussex","Local Authority","E10000032","All pupils","All pupils","41","35","47"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Windsor and Maidenhead","Local Authority","E06000040","All pupils","All pupils","44","37","52"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Wokingham","Local Authority","E06000041","All pupils","All pupils","53","45","63"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Bath and North East Somerset","Local Authority","E06000022","All pupils","All pupils","52","50","55"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Bournemouth","Local Authority","E06000028","All pupils","All pupils","43","39","47"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Bristol, City of","Local Authority","E06000023","All pupils","All pupils","32","26","38"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Cornwall","Local Authority","E06000052","All pupils","All pupils","33","28","38"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Devon","Local Authority","E10000008","All pupils","All pupils","43","38","47"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Dorset","Local Authority","E10000009","All pupils","All pupils","46","43","50"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Gloucestershire","Local Authority","E10000013","All pupils","All pupils","35","31","39"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Isles of Scilly","Local Authority","E06000053","All pupils","All pupils","!","!","!"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","North Somerset","Local Authority","E06000024","All pupils","All pupils","32","27","36"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Plymouth","Local Authority","E06000026","All pupils","All pupils","40","32","48"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Poole","Local Authority","E06000029","All pupils","All pupils","!","!","!"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Somerset","Local Authority","E10000027","All pupils","All pupils","36","30","41"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","South Gloucestershire","Local Authority","E06000025","All pupils","All pupils","33","30","36"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Swindon","Local Authority","E06000030","All pupils","All pupils","33","29","37"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Torbay","Local Authority","E06000027","All pupils","All pupils","32","31","33"
"Percentage entering the English Baccalaureate","2016","Academic year","All","DFE","Wiltshire","Local Authority","E06000054","All pupils","All pupils","42","38","45"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","County Durham","Local Authority","E06000047","All pupils","All pupils","42","36","47"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Darlington","Local Authority","E06000005","All pupils","All pupils","38","34","42"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Gateshead","Local Authority","E08000037","All pupils","All pupils","40","35","45"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Hartlepool","Local Authority","E06000001","All pupils","All pupils","36","30","41"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Middlesbrough","Local Authority","E06000002","All pupils","All pupils","20","15","25"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Newcastle upon Tyne","Local Authority","E08000021","All pupils","All pupils","34","30","39"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","North Tyneside","Local Authority","E08000022","All pupils","All pupils","37","32","42"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Northumberland","Local Authority","E06000057","All pupils","All pupils","32","26","38"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Redcar and Cleveland","Local Authority","E06000003","All pupils","All pupils","29","23","35"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","South Tyneside","Local Authority","E08000023","All pupils","All pupils","34","27","41"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Stockton-on-Tees","Local Authority","E06000004","All pupils","All pupils","40","34","46"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Sunderland","Local Authority","E08000024","All pupils","All pupils","36","26","47"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Blackburn with Darwen","Local Authority","E06000008","All pupils","All pupils","26","23","28"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Blackpool","Local Authority","E06000009","All pupils","All pupils","18","14","23"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Bolton","Local Authority","E08000001","All pupils","All pupils","26","23","30"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Bury","Local Authority","E08000002","All pupils","All pupils","48","46","51"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Cheshire East","Local Authority","E06000049","All pupils","All pupils","39","30","47"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Cheshire West and Chester","Local Authority","E06000050","All pupils","All pupils","47","42","52"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Cumbria","Local Authority","E10000006","All pupils","All pupils","37","32","41"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Halton","Local Authority","E06000006","All pupils","All pupils","57","52","62"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Knowsley","Local Authority","E08000011","All pupils","All pupils","23","19","28"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Lancashire","Local Authority","E10000017","All pupils","All pupils","33","29","38"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Liverpool","Local Authority","E08000012","All pupils","All pupils","40","35","46"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Manchester","Local Authority","E08000003","All pupils","All pupils","33","28","38"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Oldham","Local Authority","E08000004","All pupils","All pupils","27","22","32"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Rochdale","Local Authority","E08000005","All pupils","All pupils","22","18","26"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Salford","Local Authority","E08000006","All pupils","All pupils","45","39","51"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Sefton","Local Authority","E08000014","All pupils","All pupils","43","35","52"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","St. Helens","Local Authority","E08000013","All pupils","All pupils","37","32","43"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Stockport","Local Authority","E08000007","All pupils","All pupils","46","42","49"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Tameside","Local Authority","E08000008","All pupils","All pupils","31","25","36"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Trafford","Local Authority","E08000009","All pupils","All pupils","46","43","50"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Warrington","Local Authority","E06000007","All pupils","All pupils","37","34","41"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Wigan","Local Authority","E08000010","All pupils","All pupils","33","27","40"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Wirral","Local Authority","E08000015","All pupils","All pupils","49","46","52"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Barnsley","Local Authority","E08000016","All pupils","All pupils","29","25","33"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Bradford","Local Authority","E08000032","All pupils","All pupils","31","25","38"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Calderdale","Local Authority","E08000033","All pupils","All pupils","36","30","41"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Doncaster","Local Authority","E08000017","All pupils","All pupils","27","22","33"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","East Riding of Yorkshire","Local Authority","E06000011","All pupils","All pupils","37","29","44"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Kingston upon Hull, City of","Local Authority","E06000010","All pupils","All pupils","42","40","43"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Kirklees","Local Authority","E08000034","All pupils","All pupils","36","30","42"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","Leeds","Local Authority","E08000035","All pupils","All pupils","41","35","47"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","North East Lincolnshire","Local Authority","E06000012","All pupils","All pupils","35","30","41"
"Percentage entering the English Baccalaureate","2016","Academic year","White","DFE","North Lincolnshire","Local Authority","E06000013","All pupils","All pupils","33","28","37"
