"Title","Writing attainment for children aged 7 to 11 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","01/09/2016 (provisional)"

"Ethnicity","Local authority","%"
"White","Hackney","88"
"White","Hammersmith and Fulham","79"
"White","Haringey","82"
"White","Islington","79"
"White","Kensington and Chelsea","87"
"White","Lambeth","83"
"White","Lewisham","78"
"White","Newham","78"
"White","Southwark","79"
"White","Tower Hamlets","79"
"White","Wandsworth","83"
"White","Westminster","79"
"White","Barking and Dagenham","73"
"White","Barnet","75"
"White","Bexley","76"
"White","Brent","73"
"White","Bromley","80"
"White","Croydon","76"
"White","Ealing","73"
"White","Enfield","75"
"White","Greenwich","78"
"White","Harrow","75"
"White","Havering","83"
"White","Hillingdon","71"
"White","Hounslow","78"
"White","Kingston upon Thames","70"
"White","Merton","71"
"White","Redbridge","72"
"White","Richmond upon Thames","78"
"White","Sutton","81"
"White","Waltham Forest","80"
"White","Bracknell Forest","74"
"White","Brighton and Hove","77"
"White","Buckinghamshire","72"
"White","East Sussex","73"
"White","Hampshire","80"
"White","Isle of Wight","74"
"White","Kent","79"
"White","Medway","72"
"White","Milton Keynes","74"
"White","Oxfordshire","69"
"White","Portsmouth","73"
"White","Reading","76"
"White","Slough","72"
"White","Southampton","75"
"White","Surrey","76"
"White","West Berkshire","70"
"White","West Sussex","60"
"White","Windsor and Maidenhead","74"
"White","Wokingham","74"
"White","Bath and North East Somerset","71"
"White","Bournemouth","75"
"White","Bristol, City of","76"
"White","Cornwall","73"
"White","Devon","70"
"White","Dorset","60"
"White","Gloucestershire","69"
"White","Isles of Scilly","60"
"White","North Somerset","76"
"White","Plymouth","73"
"White","Poole","75"
"White","Somerset","74"
"White","South Gloucestershire","70"
"White","Swindon","59"
"White","Torbay","67"
"White","Wiltshire","74"
