"Title","Mathematics attainment for children aged 5 to 7 by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Ethnicity","Local authority",""
"White","North East Lincolnshire","72"
"White","North Lincolnshire","77"
"White","North Yorkshire","71"
"White","Rotherham","71"
"White","Sheffield","72"
"White","Wakefield","72"
"White","York","71"
"White","Derby","63"
"White","Derbyshire","73"
"White","Leicester","60"
"White","Leicestershire","71"
"White","Lincolnshire","71"
"White","Northamptonshire","70"
"White","Nottingham","67"
"White","Nottinghamshire","71"
"White","Rutland","79"
"White","Birmingham","67"
"White","Coventry","68"
"White","Dudley","72"
"White","Herefordshire, County of","74"
"White","Sandwell","66"
"White","Shropshire","69"
"White","Solihull","76"
"White","Staffordshire","75"
"White","Stoke-on-Trent","70"
"White","Telford and Wrekin","76"
"White","Walsall","71"
"White","Warwickshire","74"
"White","Wolverhampton","68"
"White","Worcestershire","71"
"White","Bedford","72"
"White","Cambridgeshire","71"
"White","Central Bedfordshire","76"
"White","Essex","74"
"White","Hertfordshire","77"
"White","Luton","70"
"White","Norfolk","74"
"White","Peterborough","70"
"White","Southend-on-Sea","74"
"White","Suffolk","71"
"White","Thurrock","74"
"White","Camden","78"
"White","City of London","!"
"White","Hackney","83"
"White","Hammersmith and Fulham","82"
"White","Haringey","80"
"White","Islington","77"
"White","Kensington and Chelsea","84"
"White","Lambeth","80"
"White","Lewisham","81"
"White","Newham","74"
"White","Southwark","79"
"White","Tower Hamlets","74"
"White","Wandsworth","85"
"White","Westminster","78"
"White","Barking and Dagenham","71"
"White","Barnet","77"
"White","Bexley","78"
"White","Brent","74"
"White","Bromley","79"
"White","Croydon","74"
"White","Ealing","76"
"White","Enfield","72"
"White","Greenwich","79"
"White","Harrow","71"
"White","Havering","77"
"White","Hillingdon","72"
"White","Hounslow","76"
"White","Kingston upon Thames","75"
"White","Merton","72"
"White","Redbridge","72"
"White","Richmond upon Thames","79"
"White","Sutton","73"
"White","Waltham Forest","80"
"White","Bracknell Forest","75"
"White","Brighton and Hove","74"
"White","Buckinghamshire","74"
"White","East Sussex","75"
"White","Hampshire","77"
"White","Isle of Wight","73"
"White","Kent","77"
"White","Medway","74"
"White","Milton Keynes","71"
"White","Oxfordshire","72"
"White","Portsmouth","71"
"White","Reading","75"
"White","Slough","71"
"White","Southampton","75"
"White","Surrey","76"
"White","West Berkshire","72"
"White","West Sussex","64"
"White","Windsor and Maidenhead","79"
"White","Wokingham","78"
"White","Bath and North East Somerset","73"
"White","Bournemouth","71"
"White","Bristol, City of","73"
"White","Cornwall","71"
"White","Devon","70"
"White","Dorset","68"
"White","Gloucestershire","69"
"White","Isles of Scilly","!"
"White","North Somerset","76"
"White","Plymouth","69"
"White","Poole","76"
"White","Somerset","73"
"White","South Gloucestershire","75"
"White","Swindon","69"
"White","Torbay","69"
"White","Wiltshire","71"
