"Title","Civil Service workforce"
"Location","UK"
"Time period","2018"
"Data source","Cabinet Office"
"Data source link","https://www.ons.gov.uk/releases/civilservicestatistics2018"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-02"
"Year","Ethnicity","Grade/Rank/Area/Gender/Age","%","Number ","","","","","","","",""
"2016","Mixed","West Midlands","1.4","280","","","","","","","",""
"2016","Mixed","East","1.4","240","","","","","","","",""
"2016","Mixed","London","3","1,780","","","","","","","",""
"2016","Mixed","South East","1.2","370","","","","","","","",""
"2016","Mixed","South West","1","300","","","","","","","",""
"2016","Mixed","Wales","0.8","210","","","","","","","",""
"2016","Mixed","Scotland","0.5","160","","","","","","","",""
"2016","Mixed","Northern Ireland","0.3","10","","","","","","","",""
"2016","Mixed","Unknown","N/A","10","","","","","","","",""
"2016","Other","UK","0.5","1,710","","","","","","","",""
"2016","Other","North East","0.2","50","","","","","","","",""
"2016","Other","North West","0.3","140","","","","","","","",""
"2016","Other","Yorkshire and The Humber","0.4","100","","","","","","","",""
"2016","Other","East Midlands","0.4","50","","","","","","","",""
"2016","Other","West Midlands","0.5","100","","","","","","","",""
"2016","Other","East","0.6","110","","","","","","","",""
"2016","Other","London","1.2","730","","","","","","","",""
"2016","Other","South East","0.5","150","","","","","","","",""
"2016","Other","South West","0.4","110","","","","","","","",""
"2016","Other","Wales","0.3","80","","","","","","","",""
"2016","Other","Scotland","0.2","70","","","","","","","",""
"2016","Other","Northern Ireland","!","!","","","","","","","",""
"2016","Other","Unknown","N/A","!","","","","","","","",""
"2016","White","UK","88.8","284,140","","","","","","","",""
"2016","White","North East","97.8","21,700","","","","","","","",""
"2016","White","North West","94.3","38,030","","","","","","","",""
"2016","White","Yorkshire and The Humber","91.8","23,330","","","","","","","",""
"2016","White","East Midlands","88.2","13,270","","","","","","","",""
"2016","White","West Midlands","82.4","16,980","","","","","","","",""
"2016","White","East","90.9","15,670","","","","","","","",""
"2016","White","London","67","39,130","","","","","","","",""
"2016","White","South East","93.6","28,220","","","","","","","",""
"2016","White","South West","96.4","27,680","","","","","","","",""
"2016","White","Wales","97.5","24,330","","","","","","","",""
"2016","White","Scotland","97.9","29,880","","","","","","","",""
"2016","White","Northern Ireland","99.3","2,980","","","","","","","",""
"2016","White","Unknown","N/A","270","","","","","","","",""
"2017","Asian","UK","6.2","19,780","","","","","","","",""
"2017","Asian","North East","1.1","240","","","","","","","",""
"2017","Asian","North West","3.7","1,500","","","","","","","",""
"2017","Asian","Yorkshire and The Humber","5.7","1,450","","","","","","","",""
"2017","Asian","East Midlands","8.5","1,270","","","","","","","",""
"2017","Asian","West Midlands","13","2,700","","","","","","","",""
"2017","Asian","East","4.6","790","","","","","","","",""
"2017","Asian","London","16.6","9,750","","","","","","","",""
"2017","Asian","South East","3.2","940","","","","","","","",""
"2017","Asian","South West","1.4","400","","","","","","","",""
"2017","Asian","Wales","1","250","","","","","","","",""
"2017","Asian","Scotland","1","310","","","","","","","",""
"2017","Asian","Northern Ireland","0.2","10","","","","","","","",""
"2017","Asian","Unknown","N/A","20","","","","","","","",""
"2017","Black","UK","3.2","10,230","","","","","","","",""
"2017","Black","North East","0.3","80","","","","","","","",""
"2017","Black","North West","1","410","","","","","","","",""
"2017","Black","Yorkshire and The Humber","1.3","330","","","","","","","",""
"2017","Black","East Midlands","2.1","310","","","","","","","",""
"2017","Black","West Midlands","3.9","810","","","","","","","",""
"2017","Black","East","2.3","380","","","","","","","",""
"2017","Black","London","11.7","6,880","","","","","","","",""
"2017","Black","South East","1.6","460","","","","","","","",""
"2017","Black","South West","0.8","240","","","","","","","",""
"2017","Black","Wales","0.5","130","","","","","","","",""
"2017","Black","Scotland","0.4","130","","","","","","","",""
"2017","Black","Northern Ireland","!","!","","","","","","","",""
"2017","Black","Unknown","N/A","20","","","","","","","",""
"2017","Chinese","UK","0.3","910","","","","","","","",""
"2017","Chinese","North East","0.2","30","","","","","","","",""
