"Title","Temporary exclusions by ethnicity and local authority"
"Location","England"
"Time period","2016/17"
"Data source","Permanent and fixed-period exclusions in England: 2016 to 2017"
"Data source link","https://www.gov.uk/government/statistics/permanent-and-fixed-period-exclusions-in-england-2016-to-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19/07/2018"

"Ethnicity","Local authority","%"
"Mixed","Blackpool","13.09"
"Mixed","Nottinghamshire","6.24"
"Mixed","Nottingham","7.88"
"Mixed","Shropshire","4.01"
"Mixed","Telford and Wrekin","12.33"
"Mixed","Cheshire East","3.08"
"Mixed","Cheshire West and Chester","3.40"
"Mixed","Cornwall","3.41"
"Mixed","Cumbria","3.97"
"Mixed","Gloucestershire","7.82"
"Mixed","Hertfordshire","4.87"
"Mixed","Isle of Wight","4.99"
"Mixed","Lincolnshire","3.43"
"Mixed","Norfolk","5.72"
"Mixed","Northamptonshire","6.66"
"Mixed","Northumberland","4.13"
"Mixed","Oxfordshire","6.19"
"Mixed","Somerset","7.56"
"Mixed","Suffolk","5.37"
"Mixed","Surrey","3.56"
"Mixed","Warwickshire","4.93"
"Mixed","West Sussex","4.60"
"White","City of London","0.00"
"White","Camden","4.19"
"White","Greenwich","6.51"
"White","Hackney","3.65"
"White","Hammersmith and Fulham","3.73"
"White","Islington","5.27"
"White","Kensington and Chelsea","3.52"
"White","Lambeth","1.30"
"White","Lewisham","2.39"
"White","Southwark","2.79"
"White","Tower Hamlets","4.09"
"White","Wandsworth","1.35"
"White","Westminster","2.70"
"White","Barking and Dagenham","2.23"
"White","Barnet","2.79"
"White","Bexley","5.59"
"White","Brent","2.34"
"White","Bromley","2.60"
"White","Croydon","2.92"
"White","Ealing","2.93"
"White","Enfield","4.43"
"White","Haringey","2.46"
"White","Harrow","2.38"
"White","Havering","3.61"
"White","Hillingdon","4.68"
"White","Hounslow","5.56"
"White","Kingston upon Thames","1.51"
"White","Merton","3.77"
"White","Newham","4.64"
"White","Redbridge","2.80"
"White","Richmond upon Thames","2.47"
"White","Sutton","4.08"
"White","Waltham Forest","3.63"
"White","Birmingham","5.04"
"White","Coventry","6.71"
"White","Dudley","4.96"
"White","Sandwell","5.11"
"White","Solihull","4.04"
"White","Walsall","5.13"
"White","Wolverhampton","4.18"
"White","Knowsley","5.87"
"White","Liverpool","4.21"
"White","St. Helens","6.14"
"White","Sefton","2.90"
"White","Wirral","5.08"
"White","Bolton","7.44"
"White","Bury","6.36"
"White","Manchester","7.72"
"White","Oldham","4.98"
"White","Rochdale","5.06"
"White","Salford","4.64"
"White","Stockport","4.29"
"White","Tameside","7.58"
"White","Trafford","2.90"
"White","Wigan","4.08"
"White","Barnsley","17.20"
"White","Doncaster","21.40"
"White","Rotherham","8.42"
"White","Sheffield","9.61"
"White","Bradford","4.22"
"White","Calderdale","5.35"
"White","Kirklees","6.61"
"White","Leeds","6.92"
"White","Wakefield","9.19"
"White","Gateshead","5.38"
"White","Newcastle upon Tyne","4.36"
"White","North Tyneside","2.77"
"White","South Tyneside","3.78"
"White","Sunderland","3.02"
"White","Isles Of Scilly","0.00"
"White","Bath and North East Somerset","5.31"
"White","Bristol City of","9.49"
"White","North Somerset","3.40"
"White","South Gloucestershire","6.01"
"White","Hartlepool","10.15"
"White","Middlesbrough","22.11"
"White","Redcar and Cleveland","11.16"
"White","Stockton-on-Tees","9.21"
"White","Kingston upon Hull City of","3.80"
"White","East Riding of Yorkshire","3.55"
"White","North East Lincolnshire","7.38"
"White","North Lincolnshire","9.36"
"White","North Yorkshire","5.71"
"White","York","3.32"
"White","Luton","6.85"
"White","Bedford","3.38"
"White","Central Bedfordshire","3.84"
"White","Buckinghamshire","3.35"
"White","Milton Keynes","5.88"
"White","Derbyshire","4.48"
"White","Derby","5.60"
"White","Dorset","4.96"
"White","Poole","4.32"
"White","Bournemouth","7.76"
"White","Durham","4.14"
"White","Darlington","8.33"
"White","East Sussex","5.94"
"White","Brighton and Hove","5.79"
"White","Hampshire","4.39"
"White","Portsmouth","7.80"
"White","Southampton","5.02"
"White","Leicestershire","3.18"
"White","Leicester","5.49"
"White","Rutland","1.94"
"White","Staffordshire","4.55"
"White","Stoke-on-Trent","7.11"
"White","Wiltshire","4.10"
"White","Swindon","5.27"
"White","Bracknell Forest","5.18"
"White","Windsor and Maidenhead","3.61"
"White","West Berkshire","4.29"
"White","Reading","5.62"
"White","Slough","4.35"
"White","Wokingham","2.49"
"White","Cambridgeshire","3.76"
"White","Peterborough","4.06"
"White","Halton","4.48"
"White","Warrington","2.59"
"White","Devon","3.99"
"White","Plymouth","4.37"
"White","Torbay","5.97"
"White","Essex","4.07"
"White","Southend-on-Sea","5.74"
"White","Thurrock","2.18"
