"Title"," EBacc entry by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"Standard Ethnicity","Local authority","All","Boys","Girls"
"Chinese","Cheshire West and Chester","63","!","!"
"Chinese","City of London","N/A","N/A","N/A"
"Chinese","Cornwall","!","!","!"
"Chinese","County Durham","!","!","!"
"Chinese","Coventry","67","!","!"
"Chinese","Croydon","76","!","!"
"Chinese","Cumbria","67","100","50"
"Chinese","Darlington","!","N/A","!"
"Chinese","Derby","50","!","!"
"Chinese","Derbyshire","36","!","!"
"Chinese","Devon","77","!","!"
"Chinese","Doncaster","60","!","!"
"Chinese","Dorset","46","!","!"
"Chinese","Dudley","!","!","!"
"Chinese","Ealing","100","N/A","100"
"Chinese","East Riding of Yorkshire","!","!","!"
"Chinese","East Sussex","56","!","!"
"Chinese","Enfield","80","!","!"
"Chinese","Essex","63","60","65"
"Chinese","Gateshead","!","!","!"
"Chinese","Gloucestershire","65","!","!"
"Chinese","Greenwich","67","62","73"
"Chinese","Hackney","67","!","!"
"Chinese","Halton","N/A","N/A","N/A"
"Chinese","Hammersmith and Fulham","50","!","!"
"Chinese","Hampshire","63","62","67"
"Chinese","Haringey","25","!","!"
"Chinese","Harrow","73","!","!"
"Chinese","Hartlepool","!","!","N/A"
"Chinese","Havering","55","!","!"
"Chinese","Herefordshire, County of","!","!","!"
"Chinese","Hertfordshire","75","80","70"
"Chinese","Hillingdon","42","!","!"
"Chinese","Hounslow","!","!","!"
"Chinese","Isle of Wight","!","!","!"
"Chinese","Isles of Scilly","N/A","N/A","N/A"
"Chinese","Islington","!","!","!"
"Chinese","Kensington and Chelsea","!","N/A","!"
"Chinese","Kent","67","73","61"
"Chinese","Kingston upon Hull, City of","!","N/A","!"
"Chinese","Kingston upon Thames","70","!","!"
"Chinese","Kirklees","60","!","!"
"Chinese","Knowsley","!","N/A","!"
"Chinese","Lambeth","67","!","!"
"Chinese","Lancashire","41","25","56"
"Chinese","Leeds","50","50","50"
"Chinese","Leicester","!","N/A","!"
"Chinese","Leicestershire","55","!","!"
"Chinese","Lewisham","57","57","57"
"Chinese","Lincolnshire","76","79","71"
"Chinese","Liverpool","64","64","65"
"Chinese","Luton","!","!","!"
"Chinese","Manchester","51","29","79"
"Chinese","Medway","73","!","!"
"Chinese","Merton","!","!","!"
"Chinese","Middlesbrough","N/A","N/A","N/A"
"Chinese","Milton Keynes","47","!","!"
"Chinese","Newcastle upon Tyne","69","!","!"
"Chinese","Newham","46","!","!"
"Chinese","Norfolk","48","50","46"
"Chinese","North East Lincolnshire","!","N/A","!"
"Chinese","North Lincolnshire","100","100","N/A"
"Chinese","North Somerset","!","!","!"
"Chinese","North Tyneside","67","!","!"
"Chinese","North Yorkshire","62","!","!"
"Chinese","Northamptonshire","70","70","70"
"Chinese","Northumberland","!","!","!"
"Chinese","Nottingham","!","!","100"
"Chinese","Nottinghamshire","68","62","75"
"Chinese","Oldham","43","!","!"
"Chinese","Oxfordshire","42","29","58"
"Chinese","Peterborough","63","!","!"
"Chinese","Plymouth","62","!","!"
"Chinese","Poole","!","!","!"
"Chinese","Portsmouth","!","!","100"
"Chinese","Reading","!","!","!"
"Chinese","Redbridge","70","!","!"
"Chinese","Redcar and Cleveland","!","N/A","!"
"Chinese","Richmond upon Thames","67","!","!"
"Chinese","Rochdale","!","!","N/A"
"Chinese","Rotherham","!","!","100"
"Chinese","Rutland","N/A","N/A","N/A"
"Chinese","Salford","!","!","!"
"Chinese","Sandwell","!","!","!"
"Chinese","Sefton","!","!","!"
"Chinese","Sheffield","61","57","64"
"Chinese","Shropshire","50","!","!"
"Chinese","Slough","!","!","!"
"Chinese","Solihull","50","!","!"
"Chinese","Somerset","55","!","!"
"Chinese","South Gloucestershire","!","!","!"
"Chinese","South Tyneside","N/A","N/A","N/A"
"Chinese","Southampton","!","100","!"
"Chinese","Southend-on-Sea","68","67","70"
"Chinese","Southwark","74","!","!"
"Chinese","St. Helens","!","!","!"
"Chinese","Staffordshire","50","57","46"
"Chinese","Stockport","50","!","!"
"Chinese","Stockton-on-Tees","!","!","!"
"Chinese","Stoke-on-Trent","56","!","!"
"Chinese","Suffolk","!","!","!"
"Chinese","Sunderland","100","N/A","100"
"Chinese","Surrey","75","72","79"
"Chinese","Sutton","81","!","!"
"Chinese","Swindon","40","!","!"
"Chinese","Tameside","42","!","!"
"Chinese","Telford and Wrekin","67","!","!"
"Chinese","Thurrock","56","!","!"
"Chinese","Torbay","!","!","!"
"Chinese","Tower Hamlets","50","!","!"
"Chinese","Trafford","71","!","!"
"Chinese","Wakefield","!","!","!"
"Chinese","Walsall","100","!","!"
"Chinese","Waltham Forest","32","!","!"
"Chinese","Wandsworth","79","!","!"
"Chinese","Warrington","50","!","!"
"Chinese","Warwickshire","63","40","100"
"Chinese","West Berkshire","67","!","!"
"Chinese","West Sussex","50","!","!"
"Chinese","Westminster","61","!","!"
"Chinese","Wigan","!","!","!"
"Chinese","Wiltshire","!","!","100"
"Chinese","Windsor and Maidenhead","63","!","!"
"Chinese","Wirral","79","!","!"
"Chinese","Wokingham","!","!","100"
"Chinese","Wolverhampton","!","!","!"
"Chinese","Worcestershire","!","!","!"
"Chinese","York","67","!","!"
"Mixed","All - England","42","37","48"
"Mixed","Barking and Dagenham","25","21","28"
"Mixed","Barnet","63","61","64"
"Mixed","Barnsley","40","!","!"
"Mixed","Bath and North East Somerset","38","37","39"
"Mixed","Bedford","27","23","31"
"Mixed","Bexley","43","38","49"
"Mixed","Birmingham","41","40","43"
"Mixed","Blackburn with Darwen","33","23","42"
"Mixed","Blackpool","17","!","!"
"Mixed","Bolton","31","15","48"
"Mixed","Bournemouth","53","48","61"
"Mixed","Bracknell Forest","51","56","46"
"Mixed","Bradford","32","26","37"
"Mixed","Brent","53","42","65"
"Mixed","Brighton and Hove","48","45","51"
"Mixed","Bristol, City of","34","27","42"
"Mixed","Bromley","54","52","55"
"Mixed","Buckinghamshire","41","38","44"
"Mixed","Bury","49","45","52"
"Mixed","Calderdale","29","19","37"
"Mixed","Cambridgeshire","50","40","62"
"Mixed","Camden","42","28","52"
"Mixed","Central Bedfordshire","38","32","44"
"Mixed","Cheshire East","36","19","53"
"Mixed","Cheshire West and Chester","50","45","56"
"Mixed","City of London","N/A","N/A","N/A"
"Mixed","Cornwall","38","36","41"
"Mixed","County Durham","62","63","62"
"Mixed","Coventry","39","30","49"
"Mixed","Croydon","47","39","52"
"Mixed","Cumbria","43","32","52"
"Mixed","Darlington","47","!","!"
"Mixed","Derby","36","30","42"
"Mixed","Derbyshire","28","21","35"
"Mixed","Devon","39","37","41"
"Mixed","Doncaster","30","17","42"
"Mixed","Dorset","46","48","43"
"Mixed","Dudley","28","26","30"
"Mixed","Ealing","59","53","64"
"Mixed","East Riding of Yorkshire","28","25","33"
"Mixed","East Sussex","39","32","45"
"Mixed","Enfield","56","48","66"
"Mixed","Essex","47","44","50"
"Mixed","Gateshead","50","46","56"
"Mixed","Gloucestershire","37","32","42"
"Mixed","Greenwich","51","43","57"
"Mixed","Hackney","51","49","53"
"Mixed","Halton","68","77","58"
"Mixed","Hammersmith and Fulham","69","62","77"
"Mixed","Hampshire","43","38","50"
"Mixed","Haringey","43","34","52"
"Mixed","Harrow","56","47","63"
"Mixed","Hartlepool","50","!","!"
"Mixed","Havering","50","51","50"
"Mixed","Herefordshire, County of","52","56","44"
"Mixed","Hertfordshire","46","41","52"
"Mixed","Hillingdon","41","38","44"
"Mixed","Hounslow","65","64","66"
"Mixed","Isle of Wight","44","33","67"
"Mixed","Isles of Scilly","N/A","N/A","N/A"
"Mixed","Islington","37","36","39"
"Mixed","Kensington and Chelsea","54","53","55"
