"Title","Police workforce"
"Location","England and Wales"
"Time period","2007 to 2016"
"Data source","Home Office"
"Data source link","https://www.gov.uk/government/statistics/police-workforce-england-and-wales-31-march-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","21 July 2016"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Rank","Rank_type","Geography","Geography_type","FTE","Headcount","Population by ethnicity, gender, and PFA (based on 2011 Census)","Rate per 100,000 population by ethnicity, gender, and PFA (Based on FTE except Special Constables)","Proportion of workforce of this ethnicity in this aggregated rank, in this year, and this PFA (excludes unreported)","Proportion of population of this ethnicity in this PFA (based on 2011 Census)"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.38)","Detailed rank data","Wiltshire","Police Force Area","0","0","642,869","0","N/A","95%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","All - including BTP","Police Force Area","0","0","48,209,395","0","N/A","86%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Avon & Somerset","Police Force Area","0","0","1,491,970","0","N/A","93%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Bedfordshire","Police Force Area","0","0","476,647","0","N/A","77%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","British Transport Police","Police Force Area","0","0","N/A","N/A","N/A","N/A"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Cambridgeshire","Police Force Area","0","0","726,531","0","N/A","90%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Cheshire","Police Force Area","0","0","995,998","0","N/A","97%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Cleveland","Police Force Area","0","0","526,456","0","N/A","94%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Cumbria","Police Force Area","0","0","492,257","0","N/A","98%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Derbyshire","Police Force Area","0","0","949,845","0","N/A","93%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Devon & Cornwall","Police Force Area","0","0","1,627,306","0","N/A","98%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Dorset","Police Force Area","0","0","714,637","0","N/A","96%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Durham","Police Force Area","0","0","605,364","0","N/A","98%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Dyfed-Powys","Police Force Area","0","0","504,714","0","N/A","98%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Essex","Police Force Area","0","0","1,608,308","0","N/A","93%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Gloucestershire","Police Force Area","0","0","569,647","0","N/A","95%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Greater Manchester","Police Force Area","0","0","2,248,123","0","N/A","84%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Gwent","Police Force Area","0","0","554,377","0","N/A","96%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Hampshire","Police Force Area","0","0","1,771,378","0","N/A","93%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Hertfordshire","Police Force Area","0","0","977,495","0","N/A","88%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Humberside","Police Force Area","0","0","885,279","0","N/A","96%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Kent","Police Force Area","0","0","1,607,681","0","N/A","93%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Lancashire","Police Force Area","0","0","1,320,035","0","N/A","90%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Leicestershire","Police Force Area","0","0","797,704","0","N/A","78%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Lincolnshire","Police Force Area","0","0","696,484","0","N/A","98%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","London, City of","Police Force Area","0","0","N/A","N/A","N/A","79%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Merseyside","Police Force Area","0","0","1,305,303","0","N/A","95%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Metropolitan Police","Police Force Area","0","0","4,881,636","0","N/A","60%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Norfolk","Police Force Area","0","0","828,018","0","N/A","97%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","North Wales","Police Force Area","0","0","670,704","0","N/A","97%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","North Yorkshire","Police Force Area","0","0","769,206","0","N/A","97%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Northamptonshire","Police Force Area","0","0","632,822","0","N/A","91%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Northumbria","Police Force Area","0","0","1,343,747","0","N/A","95%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Nottinghamshire","Police Force Area","0","0","969,501","0","N/A","89%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","South Wales","Police Force Area","0","0","1,198,458","0","N/A","93%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","South Yorkshire","Police Force Area","0","0","1,217,653","0","N/A","91%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Staffordshire","Police Force Area","0","0","1,032,327","0","N/A","94%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Suffolk","Police Force Area","0","0","693,195","0","N/A","95%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Surrey","Police Force Area","0","0","1,023,682","0","N/A","90%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Sussex","Police Force Area","0","0","1,505,433","0","N/A","94%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Thames Valley","Police Force Area","0","0","1,919,646","0","N/A","85%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Warwickshire","Police Force Area","0","0","505,688","0","N/A","93%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","West Mercia","Police Force Area","0","0","1,176,516","0","N/A","96%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","West Midlands","Police Force Area","0","0","1,919,138","0","N/A","70%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","West Yorkshire","Police Force Area","0","0","1,819,818","0","N/A","82%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Escort Officer (S.39)","Detailed rank data","Wiltshire","Police Force Area","0","0","642,869","0","N/A","95%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","All - including BTP","Police Force Area","1,181","1,220","48,209,395","2.45","N/A","86%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Avon & Somerset","Police Force Area","0","0","1,491,970","0","N/A","93%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Bedfordshire","Police Force Area","20","20","476,647","4.2","N/A","77%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","British Transport Police","Police Force Area","0","0","N/A","N/A","N/A","N/A"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Cambridgeshire","Police Force Area","0","0","726,531","0","N/A","90%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Cheshire","Police Force Area","10","10","995,998","0.98","N/A","97%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Cleveland","Police Force Area","0","0","526,456","0","N/A","94%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Cumbria","Police Force Area","0","0","492,257","0","N/A","98%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Derbyshire","Police Force Area","78","83","949,845","8.22","N/A","93%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Devon & Cornwall","Police Force Area","163","172","1,627,306","10.01","N/A","98%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Dorset","Police Force Area","6","6","714,637","0.84","N/A","96%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Durham","Police Force Area","10","10","605,364","1.65","N/A","98%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Dyfed-Powys","Police Force Area","3","3","504,714","0.59","N/A","98%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Essex","Police Force Area","22","23","1,608,308","1.37","N/A","93%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Gloucestershire","Police Force Area","0","0","569,647","0","N/A","95%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Greater Manchester","Police Force Area","70","70","2,248,123","3.11","N/A","84%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Gwent","Police Force Area","0","0","554,377","0","N/A","96%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Hampshire","Police Force Area","26","27","1,771,378","1.46","N/A","93%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Hertfordshire","Police Force Area","39","40","977,495","3.95","N/A","88%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Humberside","Police Force Area","80","80","885,279","8.99","N/A","96%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Kent","Police Force Area","103","110","1,607,681","6.39","N/A","93%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Lancashire","Police Force Area","0","0","1,320,035","0","N/A","90%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Leicestershire","Police Force Area","0","0","797,704","0","N/A","78%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Lincolnshire","Police Force Area","4","4","696,484","0.57","N/A","98%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","London, City of","Police Force Area","0","0","N/A","N/A","N/A","79%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Merseyside","Police Force Area","0","0","1,305,303","0","N/A","95%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Metropolitan Police","Police Force Area","0","0","4,881,636","0","N/A","60%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Norfolk","Police Force Area","5","5","828,018","0.56","N/A","97%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","North Wales","Police Force Area","3","3","670,704","0.45","N/A","97%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","North Yorkshire","Police Force Area","0","0","769,206","0","N/A","97%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Northamptonshire","Police Force Area","12","12","632,822","1.9","N/A","91%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Northumbria","Police Force Area","65","66","1,343,747","4.86","N/A","95%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Nottinghamshire","Police Force Area","0","0","969,501","0","N/A","89%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","South Wales","Police Force Area","0","0","1,198,458","0","N/A","93%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","South Yorkshire","Police Force Area","0","0","1,217,653","0","N/A","91%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Staffordshire","Police Force Area","48","50","1,032,327","4.65","N/A","94%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Suffolk","Police Force Area","15","15","693,195","2.16","N/A","95%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Surrey","Police Force Area","214","220","1,023,682","20.95","N/A","90%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Sussex","Police Force Area","16","17","1,505,433","1.05","N/A","94%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Thames Valley","Police Force Area","43","46","1,919,646","2.26","N/A","85%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Warwickshire","Police Force Area","0","0","505,688","0","N/A","93%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","West Mercia","Police Force Area","0","0","1,176,516","0","N/A","96%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","West Midlands","Police Force Area","0","0","1,919,138","0","N/A","70%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","West Yorkshire","Police Force Area","0","0","1,819,818","0","N/A","82%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Investigation Officer (S.38)","Detailed rank data","Wiltshire","Police Force Area","127","128","642,869","19.75","N/A","95%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","All - including BTP","Police Force Area","2,833","2,937","48,209,395","5.88","95%","86%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Avon & Somerset","Police Force Area","0","0","1,491,970","0","0%","93%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Bedfordshire","Police Force Area","44","44","476,647","9.23","96%","77%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","British Transport Police","Police Force Area","0","0","N/A","N/A","0%","N/A"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Cambridgeshire","Police Force Area","33","34","726,531","4.54","94%","90%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Cheshire","Police Force Area","70","70","995,998","7.01","100%","97%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Cleveland","Police Force Area","0","0","526,456","0","0%","94%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Cumbria","Police Force Area","33","35","492,257","6.7","100%","98%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Derbyshire","Police Force Area","128","134","949,845","13.51","96%","93%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Devon & Cornwall","Police Force Area","267","278","1,627,306","16.41","100%","98%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Dorset","Police Force Area","50","51","714,637","6.94","100%","96%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Durham","Police Force Area","10","10","605,364","1.65","100%","98%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Dyfed-Powys","Police Force Area","27","27","504,714","5.27","96%","98%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Essex","Police Force Area","76","82","1,608,308","4.71","97%","93%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Gloucestershire","Police Force Area","18","18","569,647","3.16","95%","95%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Greater Manchester","Police Force Area","198","198","2,248,123","8.81","96%","84%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Gwent","Police Force Area","0","0","554,377","0","0%","96%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Hampshire","Police Force Area","108","109","1,771,378","6.07","97%","93%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Hertfordshire","Police Force Area","74","76","977,495","7.6","100%","88%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Humberside","Police Force Area","155","160","885,279","17.53","98%","96%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Kent","Police Force Area","184","193","1,607,681","11.42","97%","93%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Lancashire","Police Force Area","0","0","1,320,035","0","0%","90%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Leicestershire","Police Force Area","41","42","797,704","5.08","98%","78%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Lincolnshire","Police Force Area","35","35","696,484","5.03","100%","98%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","London, City of","Police Force Area","0","0","N/A","N/A","0%","79%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Merseyside","Police Force Area","0","0","1,305,303","0","0%","95%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Metropolitan Police","Police Force Area","143","144","4,881,636","2.93","61%","60%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Norfolk","Police Force Area","45","53","828,018","5.48","100%","97%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","North Wales","Police Force Area","35","35","670,704","5.22","100%","97%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","North Yorkshire","Police Force Area","0","0","769,206","0","0%","97%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Northamptonshire","Police Force Area","12","12","632,822","1.9","100%","91%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Northumbria","Police Force Area","154","156","1,343,747","11.47","99%","95%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Nottinghamshire","Police Force Area","90","91","969,501","9.26","97%","89%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","South Wales","Police Force Area","117","118","1,198,458","9.76","100%","93%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","South Yorkshire","Police Force Area","0","0","1,217,653","0","0%","91%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Staffordshire","Police Force Area","116","119","1,032,327","11.2","100%","94%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Suffolk","Police Force Area","43","44","693,195","6.2","98%","95%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Surrey","Police Force Area","317","323","1,023,682","31.01","96%","90%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Sussex","Police Force Area","16","17","1,505,433","1.05","100%","94%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Thames Valley","Police Force Area","43","46","1,919,646","2.26","92%","85%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Warwickshire","Police Force Area","0","0","505,688","0","0%","93%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","West Mercia","Police Force Area","0","0","1,176,516","0","0%","96%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","West Midlands","Police Force Area","0","0","1,919,138","0","0%","70%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","West Yorkshire","Police Force Area","0","0","1,819,818","0","0%","82%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Designated Officer","Aggregate Officer/Staff","Wiltshire","Police Force Area","152","183","642,869","23.69","99%","95%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Inspector","Detailed rank data","All - including BTP","Police Force Area","7,252","7,292","48,209,395","15.04","N/A","86%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Inspector","Detailed rank data","Avon & Somerset","Police Force Area","173","173","1,491,970","11.59","N/A","93%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Inspector","Detailed rank data","Bedfordshire","Police Force Area","58","59","476,647","12.17","N/A","77%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Inspector","Detailed rank data","British Transport Police","Police Force Area","161","161","N/A","N/A","N/A","N/A"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Inspector","Detailed rank data","Cambridgeshire","Police Force Area","86","87","726,531","11.89","N/A","90%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Inspector","Detailed rank data","Cheshire","Police Force Area","124","125","995,998","12.45","N/A","97%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Inspector","Detailed rank data","Cleveland","Police Force Area","73","73","526,456","13.87","N/A","94%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Inspector","Detailed rank data","Cumbria","Police Force Area","63","63","492,257","12.8","N/A","98%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Inspector","Detailed rank data","Derbyshire","Police Force Area","99","100","949,845","10.42","N/A","93%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Inspector","Detailed rank data","Devon & Cornwall","Police Force Area","179","180","1,627,306","10.98","N/A","98%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Inspector","Detailed rank data","Dorset","Police Force Area","85","85","714,637","11.85","N/A","96%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Inspector","Detailed rank data","Durham","Police Force Area","86","86","605,364","14.19","N/A","98%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Inspector","Detailed rank data","Dyfed-Powys","Police Force Area","66","66","504,714","13","N/A","98%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Inspector","Detailed rank data","Essex","Police Force Area","144","145","1,608,308","8.98","N/A","93%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Inspector","Detailed rank data","Gloucestershire","Police Force Area","73","74","569,647","12.89","N/A","95%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Inspector","Detailed rank data","Greater Manchester","Police Force Area","343","345","2,248,123","15.26","N/A","84%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Inspector","Detailed rank data","Gwent","Police Force Area","75","77","554,377","13.53","N/A","96%"
"Rate per population","2009","As at 31/3","White","ONS 2001 5+1","All","All","Inspector","Detailed rank data","Hampshire","Police Force Area","177","178","1,771,378","9.98","N/A","93%"
