"Title","Police workforce"
"Location","England and Wales"
"Time period","2007 to 2016"
"Data source","Home Office"
"Data source link","https://www.gov.uk/government/statistics/police-workforce-england-and-wales-31-march-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","21 July 2016"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Gender_type","Rank","Rank_type","Geography","Geography_type","FTE","Headcount","Population by ethnicity, gender, and PFA (based on 2011 Census)","Rate per 100,000 population by ethnicity, gender, and PFA (Based on FTE except Special Constables)","Proportion of workforce of this ethnicity in this aggregated rank, in this year, and this PFA (excludes unreported)","Proportion of population of this ethnicity in this PFA (based on 2011 Census)"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Surrey","Police Force Area","0","0","54,037","0","N/A","5%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Sussex","Police Force Area","0","0","40,865","0","N/A","3%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Thames Valley","Police Force Area","0","0","192,541","0","N/A","8%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Warwickshire","Police Force Area","1","1","22,747","4.4","N/A","4%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","West Mercia","Police Force Area","0","0","21,715","0","N/A","2%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","West Midlands","Police Force Area","1","1","493,551","0.2","N/A","18%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","West Yorkshire","Police Force Area","0","0","280,764","0","N/A","13%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Chief Superintendent","Detailed rank data","Wiltshire","Police Force Area","0","0","17,379","0","N/A","3%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Community Support Officer","Aggregate Officer/Staff","All - including BTP","Police Force Area","702","709","3,820,390","18.37","5%","7%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Community Support Officer","Aggregate Officer/Staff","Avon & Somerset","Police Force Area","2","2","33,005","6.06","1%","2%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Community Support Officer","Aggregate Officer/Staff","Bedfordshire","Police Force Area","5","5","81,480","6.14","6%","13%"
"Rate per population","2007","As at 31/3","Asian","ONS 2001 5+1","All","All","Community Support Officer","Aggregate Officer/Staff","British Transport Police","Police Force Area","29","30","N/A","N/A","12%","N/A"
