"Title","A* to C in English and Maths GCSE by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 attainment data https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value"," Denominator ","Lower confidence interval","Upper confidence interval","Notes","Boys-Value"," Boys-Denominator ","Notes","Girls-Value"," Girls-Denominator ","Notes"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","City of London","Local Authority","E09000001","All pupils","All pupils","."," . ","NA","NA","Not applicable","."," . ","Not applicable","."," . ","Not applicable"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Hackney","Local Authority","E09000012","All pupils","All pupils","73"," 687 ","NA","NA","","66"," 302 ","","78"," 385 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Hammersmith and Fulham","Local Authority","E09000013","All pupils","All pupils","75"," 624 ","NA","NA","","75"," 286 ","","76"," 338 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Haringey","Local Authority","E09000014","All pupils","All pupils","65"," 1,005 ","NA","NA","","61"," 510 ","","70"," 495 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Islington","Local Authority","E09000019","All pupils","All pupils","60"," 506 ","NA","NA","","57"," 276 ","","64"," 230 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Kensington and Chelsea","Local Authority","E09000020","All pupils","All pupils","76"," 297 ","NA","NA","","75"," 189 ","","79"," 108 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Lambeth","Local Authority","E09000022","All pupils","All pupils","69"," 491 ","NA","NA","","68"," 263 ","","69"," 228 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Lewisham","Local Authority","E09000023","All pupils","All pupils","54"," 698 ","NA","NA","","51"," 384 ","","58"," 314 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Newham","Local Authority","E09000025","All pupils","All pupils","54"," 582 ","NA","NA","","49"," 298 ","","59"," 284 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Southwark","Local Authority","E09000028","All pupils","All pupils","66"," 685 ","NA","NA","","68"," 328 ","","64"," 357 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Tower Hamlets","Local Authority","E09000030","All pupils","All pupils","52"," 316 ","NA","NA","","50"," 169 ","","53"," 147 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Wandsworth","Local Authority","E09000032","All pupils","All pupils","71"," 571 ","NA","NA","","69"," 287 ","","72"," 284 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Westminster","Local Authority","E09000033","All pupils","All pupils","78"," 483 ","NA","NA","","67"," 197 ","","85"," 286 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Barking and Dagenham","Local Authority","E09000002","All pupils","All pupils","55"," 1,051 ","NA","NA","","52"," 533 ","","57"," 518 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Barnet","Local Authority","E09000003","All pupils","All pupils","72"," 1,835 ","NA","NA","","69"," 923 ","","75"," 912 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Bexley","Local Authority","E09000004","All pupils","All pupils","62"," 2,183 ","NA","NA","","60"," 1,120 ","","65"," 1,063 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Brent","Local Authority","E09000005","All pupils","All pupils","59"," 579 ","NA","NA","","55"," 300 ","","64"," 279 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Bromley","Local Authority","E09000006","All pupils","All pupils","74"," 2,419 ","NA","NA","","71"," 1,179 ","","76"," 1,240 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Croydon","Local Authority","E09000008","All pupils","All pupils","63"," 1,534 ","NA","NA","","56"," 714 ","","70"," 820 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Ealing","Local Authority","E09000009","All pupils","All pupils","66"," 826 ","NA","NA","","65"," 446 ","","68"," 380 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Enfield","Local Authority","E09000010","All pupils","All pupils","61"," 1,754 ","NA","NA","","60"," 890 ","","63"," 864 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Greenwich","Local Authority","E09000011","All pupils","All pupils","55"," 1,071 ","NA","NA","","52"," 511 ","","57"," 560 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Harrow","Local Authority","E09000015","All pupils","All pupils","62"," 610 ","NA","NA","","57"," 303 ","","67"," 307 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Havering","Local Authority","E09000016","All pupils","All pupils","64"," 2,237 ","NA","NA","","61"," 1,135 ","","67"," 1,102 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Hillingdon","Local Authority","E09000017","All pupils","All pupils","61"," 1,479 ","NA","NA","","59"," 770 ","","63"," 709 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Hounslow","Local Authority","E09000018","All pupils","All pupils","66"," 951 ","NA","NA","","66"," 448 ","","67"," 503 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Kingston upon Thames","Local Authority","E09000021","All pupils","All pupils","75"," 871 ","NA","NA","","73"," 396 ","","78"," 475 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Merton","Local Authority","E09000024","All pupils","All pupils","70"," 734 ","NA","NA","","66"," 372 ","","75"," 362 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Redbridge","Local Authority","E09000026","All pupils","All pupils","69"," 903 ","NA","NA","","66"," 467 ","","71"," 436 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Richmond upon Thames","Local Authority","E09000027","All pupils","All pupils","73"," 1,025 ","NA","NA","","71"," 470 ","","76"," 555 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Sutton","Local Authority","E09000029","All pupils","All pupils","71"," 1,623 ","NA","NA","","71"," 851 ","","72"," 772 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Waltham Forest","Local Authority","E09000031","All pupils","All pupils","63"," 969 ","NA","NA","","59"," 494 ","","68"," 475 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Bracknell Forest","Local Authority","E06000036","All pupils","All pupils","60"," 946 ","NA","NA","","55"," 479 ","","64"," 467 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Brighton and Hove","Local Authority","E06000043","All pupils","All pupils","65"," 1,802 ","NA","NA","","63"," 903 ","","68"," 899 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Buckinghamshire","Local Authority","E10000002","All pupils","All pupils","75"," 4,220 ","NA","NA","","73"," 2,106 ","","78"," 2,114 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","East Sussex","Local Authority","E10000011","All pupils","All pupils","63"," 4,532 ","NA","NA","","60"," 2,271 ","","67"," 2,261 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Hampshire","Local Authority","E10000014","All pupils","All pupils","67"," 12,110 ","NA","NA","","63"," 6,208 ","","70"," 5,902 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Isle of Wight","Local Authority","E06000046","All pupils","All pupils","52"," 1,249 ","NA","NA","","47"," 638 ","","57"," 611 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Kent","Local Authority","E10000016","All pupils","All pupils","62"," 14,022 ","NA","NA","","58"," 7,114 ","","66"," 6,908 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Medway","Local Authority","E06000035","All pupils","All pupils","64"," 2,508 ","NA","NA","","60"," 1,293 ","","68"," 1,215 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Milton Keynes","Local Authority","E06000042","All pupils","All pupils","59"," 1,994 ","NA","NA","","55"," 997 ","","64"," 997 ",""
"Percentage achieving A*-C in English & mathematics","2016","Academic year","White","5+1","Oxfordshire","Local Authority","E10000025","All pupils","All pupils","67"," 5,136 ","NA","NA","","62"," 2,605 ","","71"," 2,531 ",""
