"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval"
"Average Attainment 8 score per pupil","2016","Academic year","All","DFE","Wiltshire","Local Authority","E06000054","All pupils","All pupils","51","4899","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","County Durham","Local Authority","E06000047","All pupils","All pupils","49","4846","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","Darlington","Local Authority","E06000005","All pupils","All pupils","48","1086","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","Gateshead","Local Authority","E08000037","All pupils","All pupils","50","1810","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","Hartlepool","Local Authority","E06000001","All pupils","All pupils","47","1036","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","Middlesbrough","Local Authority","E06000002","All pupils","All pupils","46","1164","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","Newcastle upon Tyne","Local Authority","E08000021","All pupils","All pupils","48","1913","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","North Tyneside","Local Authority","E08000022","All pupils","All pupils","51","1833","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","Northumberland","Local Authority","E06000057","All pupils","All pupils","48","3100","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","Redcar and Cleveland","Local Authority","E06000003","All pupils","All pupils","48","1567","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","South Tyneside","Local Authority","E08000023","All pupils","All pupils","49","1421","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","Stockton-on-Tees","Local Authority","E06000004","All pupils","All pupils","50","1842","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","Sunderland","Local Authority","E08000024","All pupils","All pupils","48","2677","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","Blackburn with Darwen","Local Authority","E06000008","All pupils","All pupils","49","922","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","Blackpool","Local Authority","E06000009","All pupils","All pupils","44","1270","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","Bolton","Local Authority","E08000001","All pupils","All pupils","48","2354","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","Bury","Local Authority","E08000002","All pupils","All pupils","51","1636","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","Cheshire East","Local Authority","E06000049","All pupils","All pupils","52","3509","NA","NA"
"Average Attainment 8 score per pupil","2016","Academic year","White","DFE","Cheshire West and Chester","Local Authority","E06000050","All pupils","All pupils","51","3283","NA","NA"
