"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity, gender and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator","Lower confidence interval","Upper confidence interval","Value-Female","Denominator-Female","Lower CI - Female","Upper CI - Female","Notes - Female","All-value","All-Denominator"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Portsmouth","Local Authority","E06000044","Boys","All pupils","44","909","NA","NA","49","820","NA","NA","","46","1729"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Reading","Local Authority","E06000038","Boys","All pupils","51","625","NA","NA","53","544","NA","NA","","51","1169"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Slough","Local Authority","E06000039","Boys","All pupils","53","820","NA","NA","57","812","NA","NA","","55","1632"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Southampton","Local Authority","E06000045","Boys","All pupils","45","967","NA","NA","50","985","NA","NA","","48","1952"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Surrey","Local Authority","E10000030","Boys","All pupils","51","5346","NA","NA","55","5053","NA","NA","","53","10399"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","West Berkshire","Local Authority","E06000037","Boys","All pupils","49","980","NA","NA","54","926","NA","NA","","51","1906"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","West Sussex","Local Authority","E10000032","Boys","All pupils","49","4130","NA","NA","53","3988","NA","NA","","51","8118"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Windsor and Maidenhead","Local Authority","E06000040","Boys","All pupils","51","769","NA","NA","55","701","NA","NA","","53","1470"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Wokingham","Local Authority","E06000041","Boys","All pupils","51","851","NA","NA","57","750","NA","NA","","54","1601"
"Average Attainment 8 score per pupil","2016","Academic year","All","All pupils","Bath and North East Somerset","Local Authority","E06000022","Boys","All pupils","51","982","NA","NA","53","1040","NA","NA","","52","2022"
