"Ethnicity","Geography name","%"
"White","Luton","5.5"
"White","Manchester","5.4"
"White","Medway","4.9"
"White","Merton","4.5"
"White","Middlesbrough","5.9"
"White","Milton Keynes","4.8"
"White","Newcastle upon Tyne","5.3"
"White","Newham","5.7"
"White","Norfolk","4.9"
"White","North East Lincolnshire","4.7"
"White","North Lincolnshire","4.4"
"White","North Somerset","4.7"
"White","North Tyneside","4.6"
"White","North Yorkshire","4.7"
"White","Northamptonshire","4.7"
"White","Northumberland","4.7"
"White","Nottingham","5.4"
"White","Nottinghamshire","4.4"
"White","Oldham","5.3"
"White","Oxfordshire","4.6"
"White","Peterborough","4.8"
"White","Plymouth","4.9"
"White","Poole","4.4"
"White","Portsmouth","5.4"
"White","Reading","4.9"
"White","Redbridge","4.9"
"White","Redcar and Cleveland","5.0"
"White","Richmond upon Thames","3.9"
"White","Rochdale","4.9"
"White","Rotherham","5.3"
"White","Rutland","3.1"
"White","Salford","5.3"
"White","Sandwell","5.1"
"White","Sefton","4.9"
"White","Sheffield","5.3"
"White","Shropshire","4.5"
"White","Slough","4.9"
"White","Solihull","4.8"
"White","Somerset","4.9"
"White","South Gloucestershire","4.6"
"White","South Tyneside","5.0"
"White","Southampton","4.9"
"White","Southend-on-Sea","4.5"
"White","Southwark","5.0"
"White","St. Helens","4.7"
"White","Staffordshire","4.5"
"White","Stockport","4.8"
"White","Stockton-on-Tees","4.9"
"White","Stoke-on-Trent","5.0"
"White","Suffolk","4.6"
"White","Sunderland","5.0"
"White","Surrey","4.4"
"White","Sutton","4.8"
"White","Swindon","4.7"
"White","Tameside","4.7"
"White","Telford and Wrekin","4.6"
"White","Thurrock","4.9"
"White","Torbay","5.1"
"White","Tower Hamlets","5.8"
"White","Trafford","3.8"
"White","Wakefield","5.2"
"White","Walsall","5.1"
"White","Waltham Forest","5.2"
"White","Wandsworth","4.3"
"White","Warrington","4.3"
"White","Warwickshire","4.4"
"White","West Berkshire","4.1"
"White","West Sussex","4.6"
"White","Westminster","4.8"
"White","Wigan","4.6"
"White","Wiltshire","4.7"
"White","Windsor and Maidenhead","4.2"
"White","Wirral","5.1"
"White","Wokingham","4.1"
"White","Wolverhampton","5.0"
"White","Worcestershire","4.5"
"White","York","4.4"
"Other","Barking and Dagenham","4.3"
"Other","Barnet","4.4"
"Other","Barnsley","5.4"
"Other","Bath and North East Somerset","4.7"
"Other","Bedford","4.7"
"Other","Bexley","3.7"
"Other","Birmingham","4.3"
"Other","Blackburn with Darwen","5.7"
"Other","Blackpool","5.4"
"Other","Bolton","5.7"
"Other","Bournemouth","3.8"
"Other","Bracknell Forest","3.7"
"Other","Bradford","5.1"
"Other","Brent","4.8"
"Other","Brighton and Hove","5.3"
"Other","Bristol, City of","5.4"
"Other","Bromley","4.4"
"Other","Buckinghamshire","4.4"
"Other","Bury","5.3"
"Other","Calderdale","4.3"
"Other","Cambridgeshire","4.4"
"Other","Camden","4.9"
"Other","Central Bedfordshire","5.2"
"Other","Cheshire East","4.8"
"Other","Cheshire West and Chester","4.0"
"Other","City of London","1.6"
"Other","Cornwall","5.7"
"Other","County Durham","4.8"
"Other","Coventry","4.5"
"Other","Croydon","4.7"
"Other","Cumbria","5.3"
"Other","Darlington","4.9"
"Other","Derby","4.6"
"Other","Derbyshire","4.4"
"Other","Devon","5.8"
"Other","Doncaster","5.0"
"Other","Dorset","4.4"
"Other","Dudley","4.5"
"Other","Ealing","4.3"
"Other","East Riding of Yorkshire","4.0"
"Other","East Sussex","5.3"
"Other","Enfield","4.6"
"Other","Essex","3.9"
"Other","Gateshead","4.2"
"Other","Gloucestershire","5.1"
"Other","Greenwich","3.7"
"Other","Hackney","4.0"
"Other","Halton","3.4"
"Other","Hammersmith and Fulham","4.8"
"Other","Hampshire","3.8"
"Other","Haringey","4.5"
"Other","Harrow","5.0"
"Other","Hartlepool","4.8"
"Other","Havering","4.4"
"Other","Herefordshire, County of","4.4"
"Other","Hertfordshire","4.2"
"Other","Hillingdon","3.8"
"Other","Hounslow","4.0"
"Other","Isle of Wight","4.2"
"Other","Isles of Scilly","!"
"Other","Islington","4.2"
"Other","Kensington and Chelsea","4.3"
"Other","Kent","4.0"
"Other","Kingston upon Hull, City of","4.4"
"Other","Kingston upon Thames","3.5"
"Other","Kirklees","4.7"
"Other","Knowsley","4.4"
"Other","Lambeth","4.7"
"Other","Lancashire","5.0"
"Other","Leeds","4.6"
"Other","Leicester","4.7"
"Other","Leicestershire","4.4"
"Other","Lewisham","4.1"
"Other","Lincolnshire","4.4"
"Other","Liverpool","4.5"
"Other","Luton","5.1"
"Other","Manchester","4.1"
"Other","Medway","3.7"
"Other","Merton","3.7"
"Other","Middlesbrough","4.7"
"Other","Milton Keynes","4.3"
"Other","Newcastle upon Tyne","4.1"
"Other","Newham","4.1"
"Other","Norfolk","4.4"
"Other","North East Lincolnshire","3.8"
"Other","North Lincolnshire","4.4"
"Other","North Somerset","3.7"
"Other","North Tyneside","5.4"
"Other","North Yorkshire","4.2"
"Other","Northamptonshire","4.2"
"Other","Northumberland","5.3"
"Other","Nottingham","5.1"
"Other","Nottinghamshire","4.7"
"Other","Oldham","7.9"
"Other","Oxfordshire","4.1"
"Other","Peterborough","4.1"
